X,Y,fid,ENUMBER,BOROCODE,TAXBLOCK,TAXLOT,CEQR_NUM,ULURP_NUM,ZONING_MAP,DESCRIPTIO,BBL,x,y
998281.264347294,195692.653591327,6719,E-238,3,"2,242","22","09HPD019K",C090413ZMK,,"Air Quality - Natural Gas Heat & Hot Water;Hazardous Materials* Phase I and Phase II Testing Protocol","3,022,420,022",998281.264,195692.654
998119.766044785,194692.822895768,6721,E-427,3,"2,249","122",15DCP117K,"C150278ZMK; N150277ZRK",,"Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations;Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,022,490,122",998119.766,194692.823
998437.909376927,195048.289387717,6722,E-238,3,"2,250","4","09HPD019K",C090413ZMK,,"Air Quality - Natural Gas Heat & Hot Water;Exhaust stack location limitations;Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,022,500,004",998437.909,195048.289
998437.909376927,195048.289387717,6723,R-15,3,"2,250","4","02DCP013K","010719ZMK",,,"3,022,500,004",998437.909,195048.289
998576.103411529,195098.378987093,6725,E-238,3,"2,250","48","09HPD019K",C090413ZMK,,"Air Quality - Natural Gas Heat & Hot Water;Exhaust stack location limitations;Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,022,500,048",998576.103,195098.379
998484.798130432,194732.83236024,6751,E-427,3,"2,265","7,501",15DCP117K,"C150278ZMK; N150277ZRK",,"Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations;Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,022,657,501",998484.798,194732.832
998382.998328002,194646.303519638,6752,E-427,3,"2,265","7,502",15DCP117K,"C150278ZMK; N150277ZRK",,"Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations;Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,022,657,502",998382.998,194646.304
998281.19578267,194559.77190484,6753,E-427,3,"2,265","7,503",15DCP117K,"C150278ZMK; N150277ZRK",,"Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations;Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,022,657,503",998281.196,194559.772
997976.193786047,197631.768701483,4823,E-232,3,"3,022","3","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,030,220,003",997976.194,197631.769
998188.999978395,198260.448279823,5499,E-232,3,"2,785","21","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,850,021",998189.000,198260.448
998313.787211235,198276.087972288,5501,E-232,3,"2,785","26","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,850,026",998313.787,198276.088
998714.563160321,198326.058583559,4815,E-232,3,"2,786","20","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,860,020",998714.563,198326.059
999226.681837977,198391.392863796,5502,E-232,3,"2,787","21","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,870,021",999226.682,198391.393
998209.587707368,198442.052267484,5482,E-232,3,"2,779","35","09DCP056K",C090334ZMK,,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations;Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,790,035",998209.588,198442.052
998231.883057812,198444.799023014,5481,E-232,3,"2,779","34","09DCP056K",C090334ZMK,,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations;Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,790,034",998231.883,198444.799
998254.679988339,198447.655111714,5480,E-232,3,"2,779","33","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,790,033",998254.680,198447.655
998163.821339705,198448.617753961,5484,E-232,3,"2,779","37","09DCP056K",C090334ZMK,,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations;Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,790,037",998163.821,198448.618
998186.472026971,198451.400262968,5483,E-232,3,"2,779","36","09DCP056K",C090334ZMK,,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations;Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,790,036",998186.472,198451.400
998300.543050312,198453.643926649,5479,E-232,3,"2,779","31","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,790,031",998300.543,198453.644
998360.865621962,198469.259148835,5478,E-232,3,"2,779","27","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,790,027",998360.866,198469.259
998722.77437871,198507.195926809,4812,E-232,3,"2,780","30","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,800,030",998722.774,198507.196
998973.041445483,198538.594153306,5490,E-232,3,"2,781","41","09DCP056K",C090334ZMK,,Hazardous Materials* Phase I and Phase II Testing Protocol,"3,027,810,041",998973.041,198538.594
999048.58369599,198548.183301472,4814,E-232,3,"2,781","36","09DCP056K",C090334ZMK,,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations;Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,810,036",999048.584,198548.183
999104.642021001,198555.296607087,5489,E-232,3,"2,781","35","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,810,035",999104.642,198555.297
999129.194209862,198558.411931769,5488,E-232,3,"2,781","34","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,810,034",999129.194,198558.412
999180.276997776,198560.956472892,4813,E-232,3,"2,781","32","09DCP056K",C090334ZMK,,Hazardous Materials* Phase I and Phase II Testing Protocol,"3,027,810,032",999180.277,198560.956
999154.841580201,198561.666400214,5487,E-232,3,"2,781","33","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,810,033",999154.842,198561.666
999205.107373159,198568.044545727,5486,E-232,3,"2,781","31","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,810,031",999205.107,198568.045
999229.697266089,198571.164564466,5485,E-232,3,"2,781","30","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,810,030",999229.697,198571.165
998008.20195288,198425.360660245,7120,E-232,3,"2,779","44","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,790,044",998008.202,198425.361
997984.912209793,198428.918866563,7121,E-232,3,"2,779","45","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,790,045",997984.912,198428.919
998772.432671894,198513.472663669,7124,E-232,3,"2,780","28","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,800,028",998772.433,198513.473
997965.314132605,198232.412329764,7130,E-232,3,"2,785","11","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,850,011",997965.314,198232.412
998015.091847204,198238.651271678,7131,E-232,3,"2,785","13","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,850,013",998015.092,198238.651
998043.983306909,198242.272270139,7132,E-232,3,"2,785","14","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,850,014",998043.983,198242.272
998081.492135532,198246.97374271,7133,E-232,3,"2,785","16","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,850,016",998081.492,198246.974
998115.85396109,198246.145964977,7134,E-232,3,"2,785","18","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,850,018",998115.854,198246.146
998140.170874127,198249.193684831,7135,E-232,3,"2,785","19","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,850,019",998140.171,198249.194
