X,Y,fid,ID_NUMBER,FACILITY_NAME,ACTIVITY_LOCATION,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,TRANSPORTER,ACTIVE_SITE,OPERATING_TSDF
1001365.81897279,196891.756988681,825365,NYP004748406,CON EDISON,NY,------,Other,303 JOHNSON AVE,BROOKLYN,NY,"11206",40.707082,-73.938266,N  ,N  ,-----,------         
1000043.52219564,196592.471804413,826590,NYP005093158,CON EDISON - MANHOLE M1032,NY,------,Other,13 GRAHAM AVE,BROOKLYN,NY,"11206",40.706263,-73.943036,N  ,N  ,-----,------         
1000272.32305922,196493.888473615,1315084,NYR000254912,SPG BOERUM LLC - BCP #C224291,NY,------,LQG,159 BOERUM ST,BROOKLYN,NY,"11206",40.705992,-73.942211,"1  ",N  ,H----,------         
1005675.33991739,197928.426616747,316398,NYP000932251,BROWNING - FERRIS INDUSTRIES OF NY INC,NY,------,Other,72 SCOTT AVE,BROOKLYN,NY,11237-0000,40.709918,-73.922719,N  ,N  ,-----,------         
1004178.72256437,198019.325369531,459410,NYP004287884,CON EDISON - MANHOLE 43894,NY,------,Other,VARICK AVE,BROOKLYN,NY,"11237",40.710171,-73.928117,N  ,N  ,-----,------         
1006156.5136858,198056.008248587,333572,NYD001306588,KENT PAPER CO,NY,------,Other,1710 FLUSHING AVE,RIDGEWOOD,NY,11385-1039,40.710267,-73.920983,N  ,N  ,-----,------         
1005733.94661075,198118.294900262,362048,NYR000024554,NEW YORK CITY GALVANIZING,NY,------,Other,270-304 RANDOLPH ST &,BROOKLYN,NY,"11237",40.710439,-73.922507,N  ,N  ,-----,------         
1004139.81016891,198139.88692849,492381,NYP004779625,CON EDISON,NY,------,Other,VARICK ST & MESEROLE ST,BROOKLYN,NY,"11237",40.710502,-73.928257,N  ,N  ,-----,------         
1004139.81016891,198139.88692849,464038,NYP004741047,CON EDISON,NY,------,Other,VARICK & MESEROLE ST VAULT 242,BROOKLYN,NY,"11237",40.710502,-73.928257,N  ,N  ,-----,------         
1004139.81016891,198139.88692849,464036,NYP004741005,CON EDISON,NY,------,Other,VARICK AND MESEROLE ST VAULT 3,BROOKLYN,NY,"11237",40.710502,-73.928257,N  ,N  ,-----,------         
1006157.21801476,198197.004951627,296949,NYR000170910,NYC PUBLIC SCHOOL IS 77,NY,------,SQG,976 SENECA AVE,RIDGEWOOD,NY,"11315",40.710654,-73.92098,"2  ",N  ,H----,------         
1006157.21801476,198197.004951627,406793,NYR000199703,NYC DEPT OF EDUCATION - PS 320Q,NY,------,SQG,360 SENECA AVE,RIDGEWOOD,NY,"11385",40.710654,-73.92098,"2  ",N  ,H----,------         
1005575.84734018,198201.951378208,367412,NYN008023699,ACME AMERICAN GROUP INC,NY,------,VSQG,99 SCOTT AVE,BROOKLYN,NY,"11237",40.710669,-73.923077,"3  ",N  ,H----,------         
1005575.84734018,198201.951378208,313158,NYR000169698,RHODA URETSKY TRUST,NY,------,LQG,99 SCOTT AVE,BROOKLYN,NY,"11237",40.710669,-73.923077,"1  ",N  ,H----,------         
1003919.52448161,198335.717151448,331997,NYR000109116,NYC DEPT OF  SANITATION,NY,------,VSQG,VARICK AVE,BROOKLYN,NY,"11237",40.71104,-73.929051,"3  ",N  ,H----,------         
1004051.71456007,198398.489739004,450346,NYP004161857,CON EDISON,NY,------,Other,SCHOLES & VARICK,BROOKLYN,NY,"11232",40.711212,-73.928574,N  ,N  ,-----,------         
1004051.71456007,198398.489739004,492379,NYP004779567,CON EDISON,NY,------,Other,VARICK ST & SCHOLES ST NW COR,BROOKLYN,NY,"11237",40.711212,-73.928574,N  ,N  ,-----,------         
1006466.06915895,198489.843837212,435264,NYP004518809,CON EDISON SERVICE BOX: 7221,NY,------,Other,FLUSHING AVE & ONDERDONK AVE S,RIDGEWOOD,NY,"11385",40.711457,-73.919865,N  ,N  ,-----,------         
1004481.62126418,198499.764536564,337512,NYP003662772,NYCDEP,NY,------,Other,165 STEWART AVE,BROOKLYN,NY,"11237",40.711489,-73.927023,N  ,N  ,-----,------         
1003822.51636355,198648.963224485,322505,NYN008012031,ALL STATE POWER VAC,NY,------,Other,180 VARICK ST,BROOKLYN,NY,"11237",40.7119,-73.9294,N  ,N  ,-----,------         
1006610.61677568,198672.506584165,294199,NYR000020578,NYC PARKS DEPT,NY,------,VSQG,FLUSHING MEADOWS CORONA PARK,FLUSHING,NY,"11375",40.711958,-73.919343,"3  ",N  ,H----,------         
1004419.89173993,198720.497649597,485757,NYP004738597,CON EDISON,NY,------,Other,179 STEWART AVE,BROOKLYN,NY,"11237",40.712095,-73.927245,N  ,N  ,-----,------         
1004403.75328256,198791.528766352,489602,NYP004738878,CON EDISON,NY,------,Other,STEWART AVE & STAGG ST,BROOKLYN,NY,"11237",40.71229,-73.927303,N  ,N  ,-----,------         
1005951.16294739,198892.327405771,321470,NYP004073409,CON EDISION - TM 1088,NY,------,Other,75 ONDERDONK AVE 75 ONDERDONK,NEW YORK,NY,"10003",40.712563,-73.921721,N  ,N  ,-----,------         
1005951.16294739,198892.327405771,421103,NYP004431789,CON EDISON VAULT: 7125,NY,------,Other,75 ONDERDONK AVE VAULT 7125,RIDGEWOOD,NY,"11385",40.712563,-73.921721,N  ,N  ,-----,------         
1005951.16294739,198892.327405771,427644,NYP004431805,CON EDISON VAULT SUBMERSIBLE: 0305,NY,------,Other,75 ONDERDONK AVE VAULT 0305,RIDGEWOOD,NY,"11385",40.712563,-73.921721,N  ,N  ,-----,------         
1005951.16294739,198892.327405771,427643,NYP004431797,CON EDISON VAULT SUBMERSIBLE: 7955,NY,------,Other,75 ONDERDONK AVE VAULT 7955,RIDGEWOOD,NY,"11385",40.712563,-73.921721,N  ,N  ,-----,------         
1003879.97612138,198901.491087409,492378,NYP004779559,CON EDISON,NY,------,Other,VARICK AVE & MEADOW ST,BROOKLYN,NY,"11237",40.712593,-73.929192,N  ,N  ,-----,------         
1005945.88190407,198907.624580543,456862,NYP004292272,CON EDISON - MANHOLE 13064,NY,------,Other,F/O 75 ONDERDONK AVENUE,RIDGEWOOD,NY,"11385",40.712605,-73.92174,N  ,N  ,-----,------         
1005906.49295646,198932.728192248,335792,NYR000108993,NATIONAL COMPRESSOR EXCHANGE,NY,------,Other,75 ONDERDONK AVE,RIDGEWOOD,NY,"11385",40.712674,-73.921882,N  ,N  ,-----,------         
1004320.66268804,199031.553942746,483252,NYP004186029,CON EDISON,NY,------,Other,MEADOW ST & STEWART AVE,BROOKLYN,NY,"11237",40.712949,-73.927602,N  ,N  ,-----,------         
1004317.61047215,199034.830394164,418586,NYP004297123,CON EDISON MANHOLE: 57877,NY,------,Other,STEWART AVE & MEADOW ST SW COR,BROOKLYN,NY,"11237",40.712958,-73.927613,N  ,N  ,-----,------         
1004139.81016891,198139.88692849,496814,NYP004779476,CON EDISON,NY,------,Other,VARICK ST & MESEROLE ST,BROOKLYN,NY,"11237",40.710502,-73.928257,N  ,N  ,-----,------         
1004319.83130741,199031.188923113,724306,NYP004297362,CON EDISON - MANHOLE 57876,NY,------,LQG,243 MEADOW STREET,BROOKLYN,NY,"11237",40.712948,-73.927605,"1  ",N  ,H----,------         
1004317.61047215,199034.830394164,756827,NYP004738902,CON EDISON,NY,------,Other,STEWART AVE & MEADOW AVE,BROOKLYN,NY,"11237",40.712958,-73.927613,N  ,N  ,-----,------         
1006610.61677568,198672.506584165,787160,NYR000171991,NYSDOT BIN 1055070,NY,------,LQG,FLUSHING MEADOW OVER I-495,FLUSHING,NY,"11367",40.711958,-73.919343,"1  ",N  ,H----,------         
1006610.61677568,198672.506584165,787973,NYR000172163,NYSDOT BIN 105578E,NY,------,LQG,I-495 OVER FLUSHING MEADOW,FLUSHING,NY,"11355",40.711958,-73.919343,"1  ",N  ,H----,------         
1006610.61677568,198672.506584165,791482,NYR000172114,NYSDOT BIN 105577B,NY,------,LQG,I-678 OVER FLUSHING RIVER,FLUSHING,NY,"11355",40.711958,-73.919343,"1  ",N  ,H----,------         
1006610.61677568,198672.506584165,793305,NYR000172189,NYSDOT BIN 105578G,NY,------,LQG,I-678 OVER FLUSHING MEADOW,FLUSHING,NY,"11355",40.711958,-73.919343,"1  ",N  ,H----,------         
1005508.56051662,198424.862799157,825797,NYR000228510,WILLDAN LIGHTING & ELECTRIC,NY,------,Other,126 SCOTT AVE,BROOKLYN,NY,"11237",40.711281,-73.923319,N  ,N  ,-----,------         
1006466.06915895,198489.843837212,830540,NYP004739470,CON EDISON,NY,------,Other,FLUSHING AVE & ONDERDONK AVE,BROOKLYN,NY,"11213",40.711457,-73.919865,N  ,N  ,-----,------         
1004787.24490176,198367.40515639,833647,NYP004295200,CON EDISON - MANHOLE 15252,NY,------,Other,299 MESEROLE STREET,BROOKLYN,NY,"11222",40.711125,-73.925921,N  ,N  ,-----,------         
1004178.72256437,198019.325369531,833650,NYP004295515,CON EDISON - MANHOLE 43883,NY,------,Other,S/W/C TENEY & VARICK AVE.,BROOKLYN,NY,"11237",40.710171,-73.928117,N  ,N  ,-----,------         
1006157.21801476,198197.004951627,835234,NYP005106846,CON EDISON - MANHOLE 2735,NY,------,Other,689 SENECA AVE,FLUSHING,NY,"11385",40.710654,-73.92098,N  ,N  ,-----,------         
1005791.85921596,198152.229082222,1028356,NYR000238444,RANDOLPH ST DEVELOPMENT ,NY,------,Other,255 RANDOLPH ST,BROOKLYN,NY,"11237",40.710532,-73.922298,N  ,N  ,-----,------         
1000335.31330558,198084.598478013,322541,NYR000000059,NYCHA - WILLIAMSBURG HOUSES,NY,------,Other,200 TEN EYCK WALK BLDG #17,BROOKLYN,NY,"11206",40.710358,-73.94198,N  ,N  ,-----,------         
1000452.30344997,198091.234416182,308454,NYR000000067,NYCHA - WILLIAMSBURG HOUSES,NY,------,Other,222 TEN EYCK WALK BLDG #18,BROOKLYN,NY,"11206",40.710376,-73.941558,N  ,N  ,-----,------         
1000177.83193604,198099.796293569,306504,NYR000000042,NYCHA - WILLIAMSBURG HOUSES,NY,------,Other,186 TEN EYCK WALK BLDG #12,BROOKLYN,NY,"11206",40.7104,-73.942548,N  ,N  ,-----,------         
1001828.99459261,198193.478405533,333456,NYD020571303,TELEDYNE AMERICAN EXTRUSION,NY,------,Other,17 MEADOW ST,BROOKLYN,NY,11206-1710,40.710654,-73.936592,N  ,N  ,-----,------         
999202.170964367,198196.814906815,335136,NYR000000083,NYCHA - WILLIAMSBURG HOUSES,NY,------,Other,108 MAUJER ST BLDG #2,BROOKLYN,NY,"11206",40.710668,-73.946067,N  ,N  ,-----,------         
999898.535326789,198282.14400033,319958,NYR000000117,NYCHA - WILLIAMSBURG HOUSES,NY,------,Other,160 MAUJER ST BLDG #9,BROOKLYN,NY,"11206",40.710901,-73.943555,N  ,N  ,-----,------         
1000105.89018675,198309.239361735,292768,NYR000000125,NYCHA - WILLIAMSBURG HOUSES,NY,------,SQG,176 MAUJER ST,BROOKLYN,NY,"11206",40.710975,-73.942807,"2  ",N  ,H----,------         
1000365.36071162,198342.564741511,314219,NYR000000133,NYCHA - WILLIAMSBURG HOUSES,NY,------,Other,196 MAUJER ST BLDG #15,BROOKLYN,NY,"11206",40.711066,-73.941871,N  ,N  ,-----,------         
